ringnr;recapture;capture_method;Sex;Age;age_nestling;day;month;year;time_hour;time_min;time_ringing;location;broodID;xCoord;yCoord;Wing;method_wing;P1;P8;Tarsus;tail;weight;Fat;Muscle;Bill_length;Bill_width;Bill_height;ringer;ring_owner;owner;salivary_swap;sex_genetics
5004358;first capture;Kescher at nest;2;4;NA;31;5;2020;14;0;;Grosser Glockner;Forscherhaus_NW_Mitte_20;NA;NA;116;;NA;90.5;22.8;NA;37;NA;NA;NA;NA;NA;John Parker;John Parker;Ringing scheme Austria;no;NA
5004359;first capture;Kescher at nest;2;4;NA;31;5;2020;16;0;;Grosser Glockner;FuschertSE_20;NA;NA;120;;NA;94;23.4;NA;42.5;NA;NA;NA;NA;NA;John Parker;John Parker;Ringing scheme Austria;no;NA
5004360;first capture;Kescher at nest;2;4;NA;1;6;2020;11;0;;Grosser Glockner;FuscherToerl_W_20;NA;NA;116;;NA;92;22.9;NA;39;NA;NA;12.4;8.3;9;John Parker;John Parker;Ringing scheme Austria;no;NA
5004361;first capture;Kescher at nest;2;4;NA;1;6;2020;16;0;;Grosser Glockner;EdelweisshuetteSW_20;NA;NA;116;;NA;92;22.3;NA;39.5;NA;NA;11.8;5.8;7;John Parker;John Parker;Ringing scheme Austria;no;NA
F34_N3;first capture;nestbox;0;1;2;7;6;2022;16;17;;Furkapass;Furka34_22a;675293;158837;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SD;SD;SOI;no;NA
Fu1_1_17a;first capture;nestbox;;1;4.5;18;6;2017;15;NA;;Nestling in Furka 1;Furka1_1_17;675332;158853;14;direct;NA;NA;14.4;NA;15.4;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
Fu1_1_17b;first capture;nestbox;;1;4.5;18;6;2017;15;NA;;Nestling in Furka 1;Furka1_1_17;675332;158853;11;direct;NA;NA;14;NA;11.9;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
Fu1_1_17c;first capture;nestbox;;1;4.5;18;6;2017;15;NA;;Nestling in Furka 1;Furka1_1_17;675332;158853;11.4;direct;NA;NA;13.3;NA;10.5;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
Fu15_21a_1;first capture;nestbox;;1;1;22;6;2021;13;24;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;3.9;NA;NA;NA;NA;NA;SD,CN,EP;;SOI;no;NA
Fu15_21a_1;recapture;nestbox;;1;4;25;6;2021;15;17;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;7.2;NA;NA;NA;NA;NA;CN,EP;;SOI;no;NA
Fu15_21a_2;recapture;nestbox;;1;4;25;6;2021;15;13;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;CN,EP;;SOI;no;NA
Fu15_21a_2;first capture;nestbox;;1;1;22;6;2021;13;26;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;3.5;NA;NA;NA;NA;NA;SD,CN,EP;;SOI;no;NA
Fu15_21a_3;first capture;nestbox;;1;1;22;6;2021;13;29;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;3.3;NA;NA;NA;NA;NA;SD,CN,EP;;SOI;no;NA
Fu15_21a_3;recapture;nestbox;;1;4;25;6;2021;15;16;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;5.4;NA;NA;NA;NA;NA;CN,EP;;SOI;no;NA
Fu15_21a_4;first capture;nestbox;;1;1;22;6;2021;13;31;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;3.4;NA;NA;NA;NA;NA;SD,CN,EP;;SOI;no;NA
Fu15_21a_4;recapture;nestbox;;1;4;25;6;2021;15;20;;Furkapass;Furka15_21a;675290;158830;NA;;NA;NA;NA;NA;4.8;NA;NA;NA;NA;NA;CN,EP;;SOI;no;NA
Fu2_16_N1;recapture;nestbox;0;1;3.5;19;6;2016;11;NA;;Nestling in Furka 2;Furka2_16;675332;158853;NA;;NA;NA;NA;NA;8.7;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
Fu2_16_N1;recapture;nestbox;0;1;6.5;22;6;2016;9;NA;;Nestling in Furka 2;Furka2_16;675332;158853;NA;;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
Fu2_16_N2;recapture;nestbox;0;1;2.5;19;6;2016;11;NA;;Nestling in Furka 2;Furka2_16;675332;158853;NA;;NA;NA;NA;NA;4.6;NA;NA;NA;NA;NA;CP;;Swiss Ornithological Institute;;NA
G   281108;recapture;;0;4;NA;27;3;1965;NA;NA;;K;;NA;NA;125;;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   281109;recapture;;0;4;NA;27;3;1965;NA;NA;;;;NA;NA;124;;NA;NA;NA;75;41;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   281196;;;1;6;NA;12;2;1966;NA;NA;;Obergurgel Bundessportheim;;NA;NA;123.5;;NA;NA;NA;75.5;40;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292322;;;1;4;NA;20;1;1966;NA;NA;;K;;NA;NA;125;;NA;NA;NA;78;45.2;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292358;first capture;;1;5;NA;20;1;1966;NA;NA;;Obergurgel Bundessportheim;;NA;NA;124;;NA;NA;NA;74;43;NA;NA;11.2;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292359;first capture;;1;5;NA;20;1;1966;NA;NA;;Obergurgel Bundessportheim;;NA;NA;123.5;;NA;NA;NA;72.5;42.5;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292360;first capture;;1;6;NA;28;2;1966;NA;NA;;K;;NA;NA;123;;NA;NA;NA;76;53;NA;NA;11.8;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292369;first capture;;1;6;NA;10;2;1966;NA;NA;;P (F);;NA;NA;125;;NA;NA;NA;79.5;41.6;NA;NA;12.1;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292370;first capture;;1;5;NA;10;2;1966;NA;NA;;P (F);;NA;NA;122;;NA;NA;NA;75;46.1;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292370;recapture;;1;5;NA;17;3;1966;NA;NA;;F;;NA;NA;NA;;NA;NA;NA;NA;43.7;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292371;first capture;;1;6;NA;10;2;1966;NA;NA;;F;;NA;NA;124;;NA;NA;NA;78;45.2;NA;NA;NA;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292372;first capture;;1;6;NA;10;2;1966;NA;NA;;F;;NA;NA;127;;NA;NA;NA;79.4;50.4;NA;NA;12.5;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292373;first capture;;1;6;NA;10;2;1966;NA;NA;;F;;NA;NA;124.5;;NA;NA;NA;78;49;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292373;recapture;;1;6;NA;17;11;1966;NA;NA;;P W;;NA;NA;126;;NA;NA;NA;79;43.4;NA;NA;11.5;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292374;;;1;6;NA;12;2;1966;NA;NA;;Obergurgel Bundessportheim;;NA;NA;128;;NA;NA;NA;78.5;42;NA;NA;12;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292375;;;1;4;NA;16;4;1966;NA;NA;;UE H;;NA;NA;NA;;NA;NA;NA;NA;37;NA;NA;NA;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
G   292375;recapture;;1;6;NA;16;4;1966;NA;NA;;LfeH;;NA;NA;NA;;NA;NA;NA;NA;37;NA;NA;NA;NA;NA;Ambros Aichhorn;;Ambros Aichhorn;;NA
